tool,suite,subject,gc,arm,status,monitors,events,traces
valg,oss,danieldk-dictomaton,serial,native,PASS,5530177,458121368,
valg,oss,danieldk-dictomaton,parallel,stock,PASS,5542211,458057961,
valg,oss,danieldk-dictomaton,parallel,native,PASS,5521699,457968340,
valg,oss,danieldk-dictomaton,g1,stock,PASS,5529552,458006142,
valg,oss,danieldk-dictomaton,g1,native,PASS,5530038,457950720,
valg,oss,davidmoten-bplustree,serial,stock,PASS,170164,103227616,
valg,oss,davidmoten-bplustree,serial,native,PASS,170131,103269682,
valg,oss,davidmoten-bplustree,parallel,stock,PASS,170108,103252674,
valg,oss,davidmoten-bplustree,parallel,native,PASS,170341,103260885,
valg,oss,davidmoten-bplustree,g1,stock,PASS,170317,103269255,
valg,oss,davidmoten-bplustree,g1,native,PASS,170241,103292110,
valg,oss,davidmoten-rtree,serial,stock,PASS,1582588,333253028,
valg,oss,davidmoten-rtree,serial,native,PASS,1590072,333720335,
valg,oss,davidmoten-rtree,parallel,stock,PASS,1590077,333396852,
valg,oss,davidmoten-rtree,parallel,native,PASS,1636922,334676997,
valg,oss,davidmoten-rtree,g1,stock,PASS,1665070,333799747,
valg,oss,davidmoten-rtree,g1,native,PASS,1597794,333598731,
valg,oss,davidmoten-rtree-multi,serial,stock,PASS,772734,221719000,
valg,oss,davidmoten-rtree-multi,serial,native,PASS,762092,222206961,
valg,oss,davidmoten-rtree-multi,parallel,stock,PASS,776691,223880647,
valg,oss,davidmoten-rtree-multi,parallel,native,PASS,741270,222287610,
valg,oss,davidmoten-rtree-multi,g1,stock,PASS,778847,222040863,
valg,oss,davidmoten-rtree-multi,g1,native,PASS,767968,221921606,
valg,oss,davidmoten-rtree2,serial,stock,PASS,598832,139231668,
valg,oss,davidmoten-rtree2,serial,native,PASS,598203,139500130,
valg,oss,davidmoten-rtree2,parallel,stock,PASS,590817,138345917,
valg,oss,davidmoten-rtree2,parallel,native,PASS,588769,138025586,
valg,oss,davidmoten-rtree2,g1,stock,PASS,595173,138591831,
valg,oss,davidmoten-rtree2,g1,native,PASS,594907,138865804,
valg,oss,eightbitjim-cassette-nibbler,serial,stock,PASS,266409,487582599,
valg,oss,eightbitjim-cassette-nibbler,serial,native,PASS,266048,487606655,
valg,oss,eightbitjim-cassette-nibbler,parallel,stock,PASS,266772,487568187,
valg,oss,eightbitjim-cassette-nibbler,parallel,native,PASS,266411,487589390,
valg,oss,eightbitjim-cassette-nibbler,g1,stock,PASS,266673,487551337,
valg,oss,eightbitjim-cassette-nibbler,g1,native,PASS,266174,487601343,
