heap,suite,tool,gc,subject,arm,status,e2e_s,peak_heap_mb,postgc_live_mb,viols
abundant,oss,javamop,g1,davidmoten-rtree,stock,PASS,496.537,78440,53196,18
abundant,oss,javamop,g1,davidmoten-rtree-multi,native,PASS,218.773,5675,3525,6
abundant,oss,javamop,g1,davidmoten-rtree-multi,stock,PASS,261.243,18455,17903,6
abundant,oss,javamop,g1,davidmoten-rtree2,native,PASS,210.425,4887,2679,4
abundant,oss,javamop,g1,davidmoten-rtree2,stock,PASS,255.126,17856,16640,4
abundant,oss,javamop,g1,eightbitjim-cassette-nibbler,native,PASS,162.438,12665,9972,2
abundant,oss,javamop,g1,eightbitjim-cassette-nibbler,stock,PASS,361.383,55095,54144,2
abundant,oss,javamop,g1,f4b6a3-uuid-creator,native,PASS,54.425,36120,254,0
abundant,oss,javamop,g1,f4b6a3-uuid-creator,stock,PASS,52.140,28497,260,0
abundant,oss,javamop,g1,flipkart-incubator-databuilderframework,native,PASS,190.084,11141,7521,3
abundant,oss,javamop,g1,flipkart-incubator-databuilderframework,stock,PASS,264.715,32107,31243,3
abundant,oss,javamop,g1,fraunhoferfokus-Fuzzino,native,PASS,106.690,3660,2964,15
abundant,oss,javamop,g1,fraunhoferfokus-Fuzzino,stock,PASS,108.251,1732,266,15
abundant,oss,javamop,g1,fusion-jena-JaroWinklerSimilarity,native,PASS,289.260,9475,7887,22
abundant,oss,javamop,g1,fusion-jena-JaroWinklerSimilarity,stock,PASS,450.802,44267,42587,22
abundant,oss,javamop,g1,gchq-synthetic-data-generator,native,PASS,78.511,25251,1816,2
